"","days_since_1stdeath","Argentina","Bolivia","Chile","Colombia","Costa Rica","Ecuador","Mexico","Panama","Paraguay","Peru"
"1",1,0.055,0.05,NA,0.143,0.192,0.044,0.009,0.045,0.041,0.129
"2",2,0.0639,0.06,NA,0.1912,0.215,0.067,0.011,0.093,0.047,0.156
"3",3,0.0788,0.067,NA,0.2347,0.245,0.096,0.014,0.151,0.059,0.186
"4",4,0.089,0.072,NA,0.2534,0.29,0.118,0.016,0.2,0.072,0.211
"5",5,0.0988,0.085,2.059,0.2864,0.321,0.136,0.018,0.228,0.079,0.225
"6",6,0.113,0.097,2.205,0.3637,0.354,0.16,0.021,0.25,0.09,0.241
"7",7,0.127,0.098,2.389,0.4132,0.359,0.209,0.023,0.29,0.105,0.277
"8",8,0.1299,0.125,2.632,0.4384,0.494,0.247,0.028,0.339,0.113,0.302
"9",9,0.156,0.126,2.813,0.4661,0.59,0.294,0.033,0.412,0.128,0.327
"10",10,NA,0.127,2.97,0.4918,0.622,0.341,0.04,0.506,0.138,0.38
"11",11,NA,0.132,3.092,0.5241,0.666,0.382,0.046,0.576,0.15,0.404
"12",12,NA,0.173,3.269,0.5774,0.718,0.403,0.052,0.592,0.164,0.434
"13",13,NA,0.189,3.7,0.6285,0.748,0.43,0.057,0.624,0.18,0.468
"14",14,0.293,0.204,3.941,0.6929,0.822,0.476,0.064,0.73,0.204,0.496
"15",15,0.326,0.219,4.134,0.7243,0.848,0.52,0.071,0.86,0.231,0.52
"16",16,0.36,0.233,4.454,0.7799,0.87,0.554,0.077,1.002,0.259,0.536
"17",17,0.396,0.253,4.603,0.8424,0.908,0.595,0.085,1.087,0.282,0.583
"18",18,0.434,NA,4.753,0.8665,0.996,0.652,0.096,1.213,0.312,0.613
"19",19,0.467,NA,4.973,0.8932,1.049,0.714,0.106,1.306,0.346,0.647
"20",20,0.501,NA,NA,1.0324,1.081,0.752,0.134,1.404,0.378,1.189
"21",21,0.536,NA,NA,1.0733,1.182,0.831,0.152,1.489,0.409,1.455
"22",22,0.5945,NA,NA,NA,1.234,0.896,0.16,1.58,0.442,1.702
"23",23,NA,NA,NA,NA,1.265,1.102,0.176,1.721,0.478,1.973
"24",24,NA,NA,NA,NA,1.296,1.244,0.19,1.897,0.513,2.297
"25",25,NA,NA,NA,NA,1.326,1.306,0.199,2.028,0.548,2.615
"26",26,NA,NA,NA,NA,1.347,1.363,0.21,2.131,NA,3.068
"27",27,NA,NA,NA,NA,1.362,1.416,0.219,2.251,NA,3.284
"28",28,NA,NA,NA,NA,1.401,1.462,0.22,2.36,NA,NA
"29",29,NA,NA,NA,NA,NA,1.505,NA,2.615,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,2.803,NA,NA
"31",31,NA,NA,NA,NA,NA,NA,NA,3.182,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,3.401,NA,NA
"33",33,NA,NA,NA,NA,NA,NA,NA,3.531,NA,NA
"34",34,NA,NA,NA,NA,NA,NA,NA,3.629,NA,NA
"35",35,NA,NA,NA,NA,NA,NA,NA,3.743,NA,NA
"36",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
